ticker,date,close,open,low,high,volume
SPY,31-Dec-20,373.88,371.78,371.23,374.66,"78,520,702"
SPY,30-Dec-20,371.99,372.34,371.57,373.1,"49,455,259"
SPY,29-Dec-20,371.46,373.81,370.83,374,"53,680,451"
SPY,28-Dec-20,372.17,371.74,371.07,372.59,"39,000,402"
SPY,25-Dec-20,,,,,
SPY,24-Dec-20,369,368.08,367.45,369.03,"26,457,853"
SPY,23-Dec-20,367.57,368.28,367.22,369.62,"46,201,402"
SPY,22-Dec-20,367.24,368.21,366.03,368.33,"48,388,462"
SPY,21-Dec-20,367.86,364.97,362.03,378.46,"96,386,745"
SPY,18-Dec-20,369.18,370.97,367.02,371.15,"136,542,328"
SPY,17-Dec-20,372.24,371.94,371.05,372.46,"64,119,472"
SPY,16-Dec-20,370.17,369.82,368.87,371.16,"58,420,517"
SPY,15-Dec-20,369.59,367.4,365.92,369.59,"64,071,099"
SPY,14-Dec-20,364.66,368.64,364.47,369.8,"69,216,174"
SPY,11-Dec-20,366.3,364.9,363.26,366.74,"57,698,614"
SPY,10-Dec-20,366.73,365.37,364.43,367.86,"57,735,353"
SPY,9-Dec-20,366.85,370.88,365.95,371.05,"74,098,312"
SPY,8-Dec-20,370.17,367.72,367.67,370.78,"42,458,859"
SPY,7-Dec-20,369.09,369.02,367.72,369.62,"48,944,269"
SPY,4-Dec-20,369.85,367.32,367.22,369.85,"50,749,859"
SPY,3-Dec-20,366.69,366.68,365.5,368.19,"62,881,998"
SPY,2-Dec-20,366.79,364.82,364.2,366.96,"45,927,000"
SPY,1-Dec-20,366.02,365.57,364.93,367.68,"74,504,969"
SPY,30-Nov-20,362.06,362.83,359.17,363.12,"83,872,709"
SPY,27-Nov-20,363.67,363.84,362.58,364.18,"28,514,072"
SPY,26-Nov-20,,,,,
SPY,25-Nov-20,362.66,363.13,361.48,363.16,"45,330,890"
SPY,24-Nov-20,363.22,360.21,359.29,363.81,"62,415,877"
SPY,23-Nov-20,357.46,357.28,354.87,358.82,"63,230,608"
SPY,20-Nov-20,355.33,357.5,355.25,357.72,"70,411,890"
SPY,19-Nov-20,357.78,355.6,354.15,358.18,"59,940,947"
SPY,18-Nov-20,356.28,360.91,356.24,361.5,"70,591,299"
SPY,17-Nov-20,360.62,359.97,358.34,361.92,"66,111,009"
SPY,16-Nov-20,362.57,360.98,359.59,362.78,"74,541,138"
SPY,13-Nov-20,358.1,355.27,354.71,358.9,"62,959,429"
SPY,12-Nov-20,353.21,355.58,351.26,356.72,"68,118,563"
SPY,11-Nov-20,356.67,356.4,355.06,357.56,"58,649,048"
SPY,10-Nov-20,354.04,353.49,350.51,355.18,"85,552,022"
